rolename,path,policyname,policytype,effect,service,action,arn,principal
AccessAnalyzerMonitorServiceRole_BCH4LLTLOE,/service-role/,trust,trust,Allow,sts,AssumeRole,,access-analyzer.amazonaws.com
AccessAnalyzerMonitorServiceRole_BCH4LLTLOE,/service-role/,AccessAnalyzerMonitorServicePolicy_NPC1TYHXFA,managed,Allow,cloudtrail,GetTrail,*,
AccessAnalyzerMonitorServiceRole_BCH4LLTLOE,/service-role/,AccessAnalyzerMonitorServicePolicy_NPC1TYHXFA,managed,Allow,iam,GenerateServiceLastAccessedDetails,*,
AccessAnalyzerMonitorServiceRole_BCH4LLTLOE,/service-role/,AccessAnalyzerMonitorServicePolicy_NPC1TYHXFA,managed,Allow,iam,GetServiceLastAccessedDetails,*,
AccessAnalyzerMonitorServiceRole_BCH4LLTLOE,/service-role/,AccessAnalyzerMonitorServicePolicy_NPC1TYHXFA,managed,Allow,s3,GetObject,arn:aws:s3:::organization-cloudtrail.us-west-2.637423623822,
AccessAnalyzerMonitorServiceRole_BCH4LLTLOE,/service-role/,AccessAnalyzerMonitorServicePolicy_NPC1TYHXFA,managed,Allow,s3,GetObject,arn:aws:s3:::organization-cloudtrail.us-west-2.637423623822/*,
AccessAnalyzerMonitorServiceRole_BCH4LLTLOE,/service-role/,AccessAnalyzerMonitorServicePolicy_NPC1TYHXFA,managed,Allow,s3,ListBucket,arn:aws:s3:::organization-cloudtrail.us-west-2.637423623822,
AccessAnalyzerMonitorServiceRole_BCH4LLTLOE,/service-role/,AccessAnalyzerMonitorServicePolicy_NPC1TYHXFA,managed,Allow,s3,ListBucket,arn:aws:s3:::organization-cloudtrail.us-west-2.637423623822/*,
AWSReservedSSO_AdministratorAccess_5bbd2384c1cd8130,/aws-reserved/sso.amazonaws.com/,trust,trust,Allow,sts,AssumeRole,,arn:aws:iam::654654581435:saml-provider/AWSSSO_31d0922c9d579402_DO_NOT_DELETE
AWSReservedSSO_AdministratorAccess_5bbd2384c1cd8130,/aws-reserved/sso.amazonaws.com/,AdministratorAccess,managed,Allow,*,*,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,trust,trust,Allow,sts,AssumeRole,,arn:aws:iam::654654581435:saml-provider/AWSSSO_31d0922c9d579402_DO_NOT_DELETE
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,a4b,ListSkills,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,access-analyzer,GetAnalyzedResource,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,access-analyzer,GetAnalyzer,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,access-analyzer,GetArchiveRule,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,access-analyzer,GetFinding,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,access-analyzer,ListAnalyzedResources,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,access-analyzer,ListAnalyzers,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,access-analyzer,ListArchiveRules,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,access-analyzer,ListFindings,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,access-analyzer,ListTagsForResource,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,account,GetAlternateContact,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,account,GetRegionOptStatus,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,acm-pca,DescribeCertificateAuthority,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,acm-pca,DescribeCertificateAuthorityAuditReport,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,acm-pca,GetPolicy,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,acm-pca,ListCertificateAuthorities,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,acm-pca,ListPermissions,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,acm-pca,ListTags,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,acm,DescribeCertificate,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,acm,ListCertificates,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,acm,ListTagsForCertificate,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,airflow,GetEnvironment,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,airflow,ListEnvironments,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,appflow,ListFlows,*,
AWSReservedSSO_SecurityAudit_41292ae7552f2441,/aws-reserved/sso.amazonaws.com/,SecurityAudit,managed,Allow,appflow,ListTagsForResource,*,
